MessageId,ReplyMessageId,Author,DateTime,Content
995,992,Ghazal,2019-06-06 14:23:16,متشکرم🙏🏻
994,993,√ HaD√ ®,2019-06-06 14:13:55,آهان ممنون 🙏
993,,Sauleh Eetemadi,2019-06-06 14:11:56,برای روش استفاده از FileSystemWatcher به صفحه msdn مراجعه کنید. پارامتر اول پوشه و پارامتر دوم مشخصات فایل(ها) که برای یک فایل میشه اسم کامل خود فایل بدون مسیرش.
992,991,Sauleh Eetemadi,2019-06-06 14:10:25,مشکل شما را نمی‌دونم چیه. توی callstack خانم زمانی File.Delete از SingleFileWatcher.Dispose صدا زده شده و این باعث exception شده.
991,990,√ HaD√ ®,2019-06-06 14:08:11,System.ArgumentException: The directory name C:\git\AP97982\A13\A13Tests\bin\Debug\test1.txt is invalid.استاد اگر آدرس فایل رو بدیم این اکسپشنو میخوریمدر صورتی که شرط گزاتم اگر فایل موجود نبود بسازتش باز هم همین مشکل هست
990,989,Sauleh Eetemadi,2019-06-06 14:06:27,به نظر میرسه که به عنوان پارامتر به SingleFileWatcher به جای یک فایل یک پوشه داده شده باشه.
989,987,Sauleh Eetemadi,2019-06-06 14:05:50,سلام. خطا زمان پاک کردن یک فایل داده شده.
988,985,mostafa masoudi,2019-06-06 13:25:31,مباحث امتحان میانترمی که پیش رو داریم تا کجاس؟
987,,Ghazal,2019-06-06 13:14:18,
986,,Ghazal,2019-06-06 13:14:00,سلام، وقت بخیرexception access is deniedچجوری میتونم رفع کنم؟
985,,Ali Heydari,2019-06-06 12:20:10,سلام. بستگی به نقطه‌ی ضعف و قوتای خودتون داره. باید با توجه به اون تصمیم‌گیری کنید.
984,,Ali Heydari,2019-06-06 12:19:18,یا درمباحث قبلی رو دوره کنیم و تمرین ۱۳ رو بزاریم برا سه شمبه؟
983,,Ali Heydari,2019-06-06 12:19:18,شما پیشنهاد میکنید ک وقت نسبتا زیاد بزاریم برای حال تمرین تا دوشنبه؟
982,,Ali Heydari,2019-06-06 12:19:17,با توجه به امتحان و تمرین۱۳
981,,Ali Heydari,2019-06-06 12:19:17,سلام علی آقا
980,,Ali Heydari,2019-06-04 06:28:49,راستی اون کدی هم که سرکلاس بهتون نشون دادم اینجا هست.https://github.com/ali4heydari/Telegram2VCF
979,,Hossein,2019-06-01 09:55:26,دوستان تشریف نمیارید ؟!!!!
978,,Ali Heydari,2019-06-01 02:22:17,با سلام و خسته نباشید NOT DONEمنظور از  چیه؟
977,,Ali Heydari,2019-06-01 02:22:17,ینی هنوز اون تمرین بررسی نشده و نمره داده نشده. به همه بازبیننده‌ها گفتم تا A7 رو حتما بازبینی کنن اگه نشده از اون پیگیر بشید.
976,,Hossein,2019-05-31 17:24:39,اسامی دوستانی که فردا نوبت تست تایپ دارند .
975,974,MΣLIҜΔ👑,2019-05-31 16:53:26,خیلی ممنونم درست شد 🙏🏼🙏🏼
974,973,Sauleh Eetemadi,2019-05-31 16:47:00,فکر می‌کنم اشکال از اینجاست که پروژه A10 به تنهایی کامپایل نمی‌شود. روش کلیک راست کنید و Rebuild را انتخاب کنید. احتمالا پیام خطایی متفاوتی می‌بینید که اشکال اصلی همان است.
973,,MΣLIҜΔ👑,2019-05-31 16:34:27,Error  CS0006  Metadata file &apos;C:\git\AP97982\A10\A10\bin\Debug\A10.exe&apos; could not be found  A10Tests  C:\git\AP97982\A10\A10Tests\CSC
972,971,MΣLIҜΔ👑,2019-05-31 16:34:11,انجام دادم ولی نشد
971,969,Ali Heydari,2019-05-31 16:23:19,تا ارور رو نبینم نمی‌تونم نظر دقیق بدم. چک کنید که مشکل دسترسی وجود نداشته باشه lock و... می‌تونید فولدر bin و obj رو پاک کنید و دوباره بیلد کنید.
970,,Ali Heydari,2019-05-31 16:22:01,chi kar byd bokonm
969,,Ali Heydari,2019-05-31 16:22:01,bbkhshid file exe doros nmishe vase man too Foldere Debug bad vase hamin testam run nmishan
968,,Ali Heydari,2019-05-31 16:22:00,salam khaste nabashid
965,,Ali Heydari,2019-05-31 16:20:45,سلام. می‌تونی متد اضافه کنی اگه لازمه ولی اون متدایی که توی نمودار UML اومده باید حتما باشه.
964,,Ali Heydari,2019-05-31 16:20:44,سلام...خوب هسید...ببخشید...یه سوال کوچیک...برا متد appAnalysisFactory باید اون چیز نمونه ای که خودتون‌دادید رو بنویسیم و متدهاشو پیاده سازی کنیم؟من فک کردم خودمون میتونیم بنویسیم.خیلی تلاش کردم ولی نمیشه...
963,962,یگانه مرشدزاده,2019-05-31 16:20:26,درست در نظر گرفتینهش های تست با این فرض که امتیازات بالاتر از x بوده حساب شدن
962,959,mostafa masoudi,2019-05-31 16:02:35,ببخشید...برای MostRatedCategories توی داک نوشته برنامه های با امتیاز x و بالاتر...ولی برا من پاس نمیشد...ولی برنامه های با امتیاز بالاتر از x رو در نظر گرفتم ،پاس شد...اوکیه یا من اشتباه حساب کردم و باید مساوی با x هم در نظر بگیریم؟
961,948,Omid 👽,2019-05-31 16:02:07,ممنون همین بود.
960,959,Omid 👽,2019-05-31 16:01:29,اخه من فک میکردم فایل پایه یه مشکلی داره و نیاز به اصلاح داره
959,,Amir Ehsandar,2019-05-31 15:55:31,لازمه که این کارا رو خودتون انجام بدید. قراره بتونید بعد از این درس به عنوان یه کد زن بتونید فعالیت کنید. سر کار که برید یه نفر نمی یاد دائما به شما بگه چی رو از کجا پیدا کنید که... ولی ما اینجا باسه این که بچه ها پاس بشن یه سری لینک ها رو میذاریم که اصولا اونا هم نباید باشه
958,946,Amir Ehsandar,2019-05-31 15:53:09,احسنت! منم اولین بار که پارسر این تمرین رو نوشتم تا ۲۱ خط پارس کرد فک کنم. بعد Exception داد. هی دیباگ و سرچ کردم ببینم مثلا این ویرگول های وسط عدد های Installs و غیره رو چه جوری بدون کثیف کاری پارس کنم و اینا. یا اگه به جای دابل متن نوشته بود چه کنیم!
957,,Amir Ehsandar,2019-05-31 15:48:33,با تشکر از خانم مرشدزاده که حل درست رو انجام دادن
956,,Amir Ehsandar,2019-05-31 15:48:00,40F71CE559D3F33A58B3305BA9780261
955,,Amir Ehsandar,2019-05-31 15:47:52,F85D08F4609CB9F5D750707713CDF335
954,,Amir Ehsandar,2019-05-31 15:47:42,
953,,Amir Ehsandar,2019-05-31 15:44:07,صورت سوال تغییر نمی کنه. الان هش های جدید رو میدم بهتون
952,,Amir Ehsandar,2019-05-31 15:43:47,بچه ها این سوال اشکال داره. هش هایی که گرفتم مال اسم اپ هاست. الان دارم درستش میکنم
951,,Amir Ehsandar,2019-05-31 15:43:15,
949,,Alireza Haghani,2019-05-31 13:44:29,فکر میکنم مشکل ت این بوده...
948,,Alireza Haghani,2019-05-31 13:44:02,سلامدر خود تمرینن گفته که ممکنه یک داده از نوع مناسب نباشه مثلا null باشه و وقتی cast به int میکنی ارور میده باید احتمالات رو در نظر بگیری و در مواقعی که چنین اتفاقی افتاد مقداری بدی که در آمار تاثیر نگذاره
947,,Omid 👽,2019-05-31 13:38:36,مشکل از چی میتونه باشه؟!
946,,Omid 👽,2019-05-31 13:38:29,سلام کد من برای کل فایل googleplaystore ارور System.FormatException: Input string was not in a correct format.رو میده( تست AppAnalysisFactory)ولی وقتی فقط 20 30 خط اولش رو میخونم، تستم پاس میشه
945,944,Melika Nobakhtian,2019-05-30 14:24:21,فکر نکنم اشتباه باشه.از من پاس شده.
944,942,Hazhar Aziz,2019-05-30 14:05:58,.
943,942,Ali Heydari,2019-05-30 03:09:04,سلام. فکر نمی‌کنم ولی می‌گم یه چک بکنن.
942,,Hazhar Aziz,2019-05-30 02:32:56,سلام تست کیسای متد MostRatedCategories مطمئنین درسته؟ @Alihyd1
941,,Hossein,2019-05-28 12:43:54,من تا الان منتظرتون بودم ؛ کلا دو نفر تشریف آوردند.نمیدونم افرادی که نیومدن برنامشون چیه ؛ ولی لطفا این موضوع هم مثل بقیه مسائل جدی بگیرید.یا حداقل اگر به هر دلیلی نمیتونید در زمان رزرو شده تشریف بیارید ، به من خبر بدین که منتظرتون نمونم .ممنون
940,,Hossein,2019-05-28 12:05:27,سلامسایت شلوغ بود ، لطفا افرادی که باقی مونده تشریف بیارند هاب دانشکده
939,,Ali Heydari,2019-05-28 03:38:46,ما که دعوا نداریم...
937,935,Amir Esmaeili,2019-05-28 03:24:29,استاد بنده جسارت نکردم ، از اقای حیدری هم تشکر کردم تا جایی که تونستم . این پیام هم حقیقتش طعنه نبود 😶 فقط منظورم این بود که وقتش کمه
936,935,Ali Heydari,2019-05-28 03:22:02,استاد شما لطف دارین. من که به نظرم وظیفه‌مه که دارم انجام می‌دم نیازی به تشکر نیست بچه‌ها هم توی فرمای نظرسنجی تشکر می‌کنن گاهی اوقات. اینم که گفتن فک می‌کنم از روی شوخی بود و منظوری نداشتن منم به دل نگرفتم.
935,933,Sauleh Eetemadi,2019-05-28 03:14:05,سلام. به نظر من ظلم اینه که حل تمرین‌ها از درس و زندگی خودشون زدند برای طراحی تمرین و آقای حیدری هم تا صبح نشسته برای شما تمرین آماده کرده بعد شما اینطوری ازش تشکر می‌کنید. هر شوخی هم جایی داره. بله اگر توی گروه ده بار از حل تمرین‌ها تشکر کرده بودید،‌ این تیکه/طعنه شما هم جا داشت. ولی اینکه فقط تیکه بیاندازید و طعنه بزنید به جز اینکه خلاف اخلاقه، ضررش هم آخرش متوجه خودتونه. دفعه دیگه می‌بینید نه حل تمرین دل میسوزونه و نه استاد. و به جای «ظلم» مشمول «لطف» شدین و نه درسی یادگرفتین و نه تمرینی انجام دادین. موفق باشید!
933,,Amir Esmaeili,2019-05-28 02:56:40,😂 آقا واقعا ظلمه ها ! چهار روز مونده به ددلاین تمرین
932,,Hossein,2019-05-27 23:16:34,سلامدوستانی که فردا نوبت تست تایپ دارند حتما به موقع تشریف بیارند چون تعدادتون نسبتا زیاد هست:) من طبق معمول همیشه ، رو به روی درب انجمن منتظرتون هستم.
931,,Amir Esmaeili,2019-05-27 22:13:33,🙏🏻همون فردا میام
930,929,Amir Esmaeili,2019-05-27 22:13:14,خب حله اگه کم شد 19 ام هم وقت هست
929,926,Hossein,2019-05-27 22:12:50,ترجیحا عوض نکنید که برای افرادی که هنوز رزرو نکرده اند، فرصت باشه .اما در صورتی که خیلی ضروری است لطفا با من هماهنگ کنید و وقتتون رو عوض کنید.
928,,Amir Esmaeili,2019-05-27 22:11:32,میشه عوضش کرد ؟
927,,Amir Esmaeili,2019-05-27 22:11:29,من وقت آزمونم برا فرداس
926,924,Amir Esmaeili,2019-05-27 22:10:16,میشه زمانشو عوض کرد ؟
924,,Hossein,2019-05-27 22:08:18,سلام امیدوارم حالتون خوب باشه.همونطوری که خیلی از شما درخواست تمدید برای تست تایپ داده بودید ، من با استاد صحبت کردم و ایشون لطف داشتن و فرصت رو براتون تمدید کردند.من زمانبندی جدید رو براتون در سایت Calendly فعال کردم و از همین لحظه میتونید برای تست تایپ وقت رزرو کنید.لطفا قبل از رزرو زمان جدید به نکات زیر توجه کنید !۱- کسانی که تا به حال تست نداده اند ، موظف هستند از تاریخ ۱۲ خرداد ماه (یکشنبه) تا روز ۱۸ خردادماه (شنبه) ، حتما تست بدهند در غیر اینصورت نمره ای بهشون تعلق نخواهد گرفت.۲- افرادی که زیر 40 WPM  (برای زبان انگلیسی) نمره گرفته اند ، میتوانند روز ۱۹خرداد ماه (یکشنبه) تشریف بیارند دانشگاه  و مجددا تست دهند.۳- به جهت اتمام کلاس های درسی زمانبندی فوق به هیچ وجه تمدید نخواهد شد !میتونید از طریق این لینک زمان موردنظرتون رو رزرو کنید!
923,921,N_zeyn,2019-05-27 00:10:45,میشه تمرین ۱۰ ام جزوش باشه؟؟؟🙄
